START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/21/16,,,Blue Jays at Orioles - Time TBD,Oriole Park at Camden Yards - Baltimore,"",04/21/16,04/21/16,,,FALSE,TRUE,04/21/16,,,FREE,BUSY
04/22/16,07:07 PM,07:07 PM,Athletics at Blue Jays,Rogers Centre - Toronto,"",04/22/16,04/22/16,10:07 PM,10:07 PM,FALSE,TRUE,04/22/16,06:07 PM,06:07 PM,FREE,BUSY
04/23/16,01:07 PM,01:07 PM,Athletics at Blue Jays,Rogers Centre - Toronto,"",04/23/16,04/23/16,04:07 PM,04:07 PM,FALSE,TRUE,04/23/16,12:07 PM,12:07 PM,FREE,BUSY
04/24/16,01:07 PM,01:07 PM,Athletics at Blue Jays,Rogers Centre - Toronto,"",04/24/16,04/24/16,04:07 PM,04:07 PM,FALSE,TRUE,04/24/16,12:07 PM,12:07 PM,FREE,BUSY
04/25/16,07:07 PM,07:07 PM,White Sox at Blue Jays,Rogers Centre - Toronto,"",04/25/16,04/25/16,10:07 PM,10:07 PM,FALSE,TRUE,04/25/16,06:07 PM,06:07 PM,FREE,BUSY
04/26/16,07:07 PM,07:07 PM,White Sox at Blue Jays,Rogers Centre - Toronto,"",04/26/16,04/26/16,10:07 PM,10:07 PM,FALSE,TRUE,04/26/16,06:07 PM,06:07 PM,FREE,BUSY
04/27/16,07:07 PM,07:07 PM,White Sox at Blue Jays,Rogers Centre - Toronto,"",04/27/16,04/27/16,10:07 PM,10:07 PM,FALSE,TRUE,04/27/16,06:07 PM,06:07 PM,FREE,BUSY
04/29/16,,,Blue Jays at Rays - Time TBD,Tropicana Field - St. Petersburg,"",04/29/16,04/29/16,,,FALSE,TRUE,04/29/16,,,FREE,BUSY
04/30/16,,,Blue Jays at Rays - Time TBD,Tropicana Field - St. Petersburg,"",04/30/16,04/30/16,,,FALSE,TRUE,04/30/16,,,FREE,BUSY
05/01/16,,,Blue Jays at Rays - Time TBD,Tropicana Field - St. Petersburg,"",05/01/16,05/01/16,,,FALSE,TRUE,05/01/16,,,FREE,BUSY
05/02/16,07:07 PM,07:07 PM,Rangers at Blue Jays,Rogers Centre - Toronto,"",05/02/16,05/02/16,10:07 PM,10:07 PM,FALSE,TRUE,05/02/16,06:07 PM,06:07 PM,FREE,BUSY
05/03/16,07:07 PM,07:07 PM,Rangers at Blue Jays,Rogers Centre - Toronto,"",05/03/16,05/03/16,10:07 PM,10:07 PM,FALSE,TRUE,05/03/16,06:07 PM,06:07 PM,FREE,BUSY
05/04/16,07:07 PM,07:07 PM,Rangers at Blue Jays,Rogers Centre - Toronto,"",05/04/16,05/04/16,10:07 PM,10:07 PM,FALSE,TRUE,05/04/16,06:07 PM,06:07 PM,FREE,BUSY
05/05/16,07:07 PM,07:07 PM,Rangers at Blue Jays,Rogers Centre - Toronto,"",05/05/16,05/05/16,10:07 PM,10:07 PM,FALSE,TRUE,05/05/16,06:07 PM,06:07 PM,FREE,BUSY
05/06/16,07:07 PM,07:07 PM,Dodgers at Blue Jays,Rogers Centre - Toronto,"",05/06/16,05/06/16,10:07 PM,10:07 PM,FALSE,TRUE,05/06/16,06:07 PM,06:07 PM,FREE,BUSY
05/07/16,01:07 PM,01:07 PM,Dodgers at Blue Jays,Rogers Centre - Toronto,"",05/07/16,05/07/16,04:07 PM,04:07 PM,FALSE,TRUE,05/07/16,12:07 PM,12:07 PM,FREE,BUSY
05/08/16,01:07 PM,01:07 PM,Dodgers at Blue Jays,Rogers Centre - Toronto,"",05/08/16,05/08/16,04:07 PM,04:07 PM,FALSE,TRUE,05/08/16,12:07 PM,12:07 PM,FREE,BUSY
05/09/16,,,Blue Jays at Giants - Time TBD,AT&T Park - San Francisco,"",05/09/16,05/09/16,,,FALSE,TRUE,05/09/16,,,FREE,BUSY
05/10/16,,,Blue Jays at Giants - Time TBD,AT&T Park - San Francisco,"",05/10/16,05/10/16,,,FALSE,TRUE,05/10/16,,,FREE,BUSY
05/11/16,,,Blue Jays at Giants - Time TBD,AT&T Park - San Francisco,"",05/11/16,05/11/16,,,FALSE,TRUE,05/11/16,,,FREE,BUSY
05/13/16,,,Blue Jays at Rangers - Time TBD,Globe Life Park in Arlington - Arlington,"",05/13/16,05/13/16,,,FALSE,TRUE,05/13/16,,,FREE,BUSY
